route_short_name,agency_name,route_long_name,num_trips,mean_trip_distance,start_stop_id,end_stop_id,start_stop_name,end_stop_name,start_stop_city,end_stop_city,start_stop_desc,end_stop_desc,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,line_type,line_type_desc
6,אגד,איקאה/היוזמה-ראשון לציון<->מתחם ''יס פלאנט''/הורדה-ראשון לציון-1#,40,18635,25059,34217,איקאה/היוזמה,מתחם ''יס פלאנט''/הורדה,ראשון לציון,ראשון לציון,רחוב:היוזמה  עיר: ראשון לציון רציף:   קומה:,רחוב:  עיר: ראשון לציון רציף:   קומה:,31.951151,34.770731,31.980643,34.746798,1,עירוני
6,אגד,מתחם ''יס פלאנט''/איסוף-ראשון לציון<->איקאה/מרק מושביץ-ראשון לציון-2#,40,20178,43632,14609,מתחם ''יס פלאנט''/איסוף,איקאה/מרק מושביץ,ראשון לציון,ראשון לציון,רחוב:  עיר: ראשון לציון רציף:   קומה:,רחוב:היוזמה 2 עיר: ראשון לציון רציף:   קומה:,31.980633,34.747848,31.950982,34.770578,1,עירוני
7,אגד,נסיה/התעשיין-ראשון לציון<->יוסף ספיר/שמעון ישראלי-ראשון לציון-1#,11,14824,25332,22372,נסיה/התעשיין,יוסף ספיר/שמעון ישראלי,ראשון לציון,ראשון לציון,רחוב:נסיה  עיר: ראשון לציון רציף:   קומה:,רחוב:יוסף ספיר 4 עיר: ראשון לציון רציף:   קומה:,31.98561,34.815841,31.99145,34.750377,1,עירוני
78,קווים,החרושת - מסוף אור יהודה-אור יהודה<->ת. מרכזית פ''ת/רציפים עירוני-פתח תקווה-21,2,20368,23239,37504,החרושת - מסוף אור יהודה,ת. מרכזית פ''ת/רציפים עירוני,אור יהודה,פתח תקווה,רחוב:החרושת 19 עיר: אור יהודה רציף:   קומה:,רחוב:  עיר: פתח תקווה רציף: 1   קומה:,32.021296,34.862805,32.094938,34.88653,1,עירוני
7,אגד,נסיה/התעשיין-ראשון לציון<->מתחם ''יס פלאנט''/הורדה-ראשון לציון-1ז,52,17591,25332,34217,נסיה/התעשיין,מתחם ''יס פלאנט''/הורדה,ראשון לציון,ראשון לציון,רחוב:נסיה  עיר: ראשון לציון רציף:   קומה:,רחוב:  עיר: ראשון לציון רציף:   קומה:,31.98561,34.815841,31.980643,34.746798,1,עירוני
249,מטרופולין,הנשיאים/יצחק בן צבי-הוד השרון<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,32,27908,24530,13483,הנשיאים/יצחק בן צבי,מסוף כרמלית/הכרמל,הוד השרון,תל אביב יפו,רחוב:שדרות הנשיאים 10 עיר: הוד השרון רציף:   קומה:,רחוב:הכרמל 12 עיר: תל אביב יפו רציף:   קומה:,32.163954,34.907098,32.066363,34.766098,3,בינעירוני
249,מטרופולין,יצחק אלחנן/הכרמל-תל אביב יפו<->הנשיאים/יצחק בן צבי-הוד השרון-2#,35,28126,13481,38117,יצחק אלחנן/הכרמל,הנשיאים/יצחק בן צבי,תל אביב יפו,הוד השרון,רחוב:יצחק אלחנן 2 עיר: תל אביב יפו רציף:   קומה:,רחוב:שדרות הנשיאים  עיר: הוד השרון רציף:   קומה:,32.065428,34.765683,32.163808,34.906893,3,בינעירוני
137,קווים,ת. רכבת האוניברסיטה/מזרח-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,17,27524,39045,41264,ת. רכבת האוניברסיטה/מזרח,מסוף יהוד/הורדה,תל אביב יפו,יהוד מונוסון,רחוב:  עיר: תל אביב יפו רציף:   קומה:,רחוב:  עיר: יהוד מונוסון רציף:   קומה:,32.103121,34.805165,32.027062,34.891103,1,עירוני
137,קווים,הרצל / טרומפלדור-יהוד מונוסון<->ת. רכבת האוניברסיטה/מזרח-תל אביב יפו-20,14,26695,15627,39045,הרצל / טרומפלדור,ת. רכבת האוניברסיטה/מזרח,יהוד מונוסון,תל אביב יפו,רחוב:הרצל 16 עיר: יהוד מונוסון רציף:   קומה:,רחוב:  עיר: תל אביב יפו רציף:   קומה:,32.031845,34.886064,32.103121,34.805165,1,עירוני
98,אגד,ת.מרכזית ת''א ק.6/רציפים-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-1#,5,10775,37693,23660,ת.מרכזית ת''א ק.6/רציפים,שדרות ירושלים/מפרץ שלמה,תל אביב יפו,חולון,רחוב:תחנה מרכזית קומה 6  עיר: תל אביב יפו רציף: 636 קומה: 6,רחוב:שדרות ירושלים 200 עיר: חולון רציף:   קומה:,32.056487,34.779648,32.005278,34.799538,1,עירוני
